
> chatiq-widget-cdn@1.0.0 dev
> npx serve public -l 3002

 INFO  Accepting connections at http://localhost:3002
 HTTP  1/3/2026 7:26:39 PM ::1 GET /
 HTTP  1/3/2026 7:26:39 PM ::1 Returned 304 in 25 ms
 HTTP  1/3/2026 7:26:40 PM ::1 GET /widget.js
 HTTP  1/3/2026 7:26:40 PM ::1 Returned 304 in 4 ms
 HTTP  1/3/2026 7:26:40 PM ::1 GET /assets/ico.svg
 HTTP  1/3/2026 7:26:40 PM ::1 Returned 304 in 8 ms
 HTTP  1/3/2026 7:26:54 PM ::1 GET /
 HTTP  1/3/2026 7:26:54 PM ::1 Returned 304 in 6 ms
 HTTP  1/3/2026 7:26:54 PM ::1 GET /widget.js
 HTTP  1/3/2026 7:26:54 PM ::1 Returned 304 in 2 ms
 HTTP  1/3/2026 7:26:55 PM ::1 GET /assets/ico.svg
 HTTP  1/3/2026 7:26:55 PM ::1 Returned 304 in 2 ms
