nohup: ignoring input
 INFO  Accepting connections at http://localhost:3002
 HTTP  12/31/2025 8:39:30 PM ::1 GET /
 HTTP  12/31/2025 8:39:30 PM ::1 Returned 404 in 27 ms
 HTTP  12/31/2025 8:39:30 PM ::1 GET /favicon.ico
 HTTP  12/31/2025 8:39:30 PM ::1 Returned 404 in 3 ms
 HTTP  12/31/2025 8:39:37 PM ::1 GET /
 HTTP  12/31/2025 8:39:37 PM ::1 Returned 404 in 2 ms
 HTTP  12/31/2025 8:40:13 PM ::1 HEAD /
 HTTP  12/31/2025 8:40:13 PM ::1 Returned 404 in 2 ms
 HTTP  12/31/2025 8:40:15 PM ::1 GET /
 HTTP  12/31/2025 8:40:15 PM ::1 Returned 404 in 2 ms
Killed
