nohup: ignoring input
 INFO  Accepting connections at http://localhost:3002
 HTTP  12/31/2025 8:41:15 PM ::1 GET /
 HTTP  12/31/2025 8:41:15 PM ::1 Returned 200 in 17 ms
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 GET /
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 Returned 200 in 11 ms
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 GET /widget.js
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 Returned 200 in 4 ms
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 GET /assets/ico.svg
 HTTP  12/31/2025 8:41:32 PM 172.24.240.1 Returned 200 in 5 ms
 HTTP  12/31/2025 8:45:26 PM 172.24.240.1 GET /assets/ico.svg
 HTTP  12/31/2025 8:45:26 PM 172.24.240.1 Returned 304 in 4 ms
 HTTP  12/31/2025 8:46:55 PM ::1 GET /
 HTTP  12/31/2025 8:46:55 PM ::1 Returned 200 in 8 ms
 HTTP  12/31/2025 8:46:55 PM ::1 GET /widget.js
 HTTP  12/31/2025 8:46:55 PM ::1 Returned 304 in 2 ms
 HTTP  12/31/2025 8:46:55 PM ::1 GET /assets/ico.svg
 HTTP  12/31/2025 8:46:55 PM ::1 Returned 304 in 4 ms
 HTTP  12/31/2025 8:47:57 PM ::1 GET /assets/ico.svg
 HTTP  12/31/2025 8:47:57 PM ::1 Returned 304 in 10 ms
 HTTP  12/31/2025 8:48:54 PM ::1 GET /
 HTTP  12/31/2025 8:48:54 PM ::1 Returned 304 in 3 ms
 HTTP  12/31/2025 8:48:54 PM ::1 GET /widget.js
 HTTP  12/31/2025 8:48:54 PM ::1 Returned 304 in 11 ms
 HTTP  12/31/2025 8:50:04 PM ::1 GET /
 HTTP  12/31/2025 8:50:04 PM ::1 Returned 304 in 7 ms
 HTTP  12/31/2025 8:50:04 PM ::1 GET /widget.js
 HTTP  12/31/2025 8:50:04 PM ::1 Returned 304 in 4 ms
 HTTP  12/31/2025 8:51:12 PM ::1 GET /assets/ico.svg
 HTTP  12/31/2025 8:51:12 PM ::1 Returned 304 in 1 ms
